,names,pvals,logfoldchanges,condition,cellline
15420769,LLGL2,2.2220571075567846e-20,-0.1996577084064483,nicardipine,HELA
15420770,CTSL,2.756327318078101e-20,0.0853594839572906,nicardipine,HELA
15420771,LAIR1,3.731713578650134e-20,0.1884384900331497,nicardipine,HELA
15420772,BAG3,3.779900246843201e-20,0.2142977714538574,nicardipine,HELA
15420773,TLR2,3.856867721398265e-20,0.288890540599823,nicardipine,HELA
15420774,RNASE6,4.665561686421047e-20,0.1729262620210647,nicardipine,HELA
15420775,SLC35B1,6.527140241761594e-20,0.0945122763514518,nicardipine,HELA
15420776,PWP1,1.7044727250612037e-19,0.1537652462720871,nicardipine,HELA
15420777,CUL4A,1.7606197788256371e-19,0.1918989568948745,nicardipine,HELA
15420778,PSMD2,2.8078646362912965e-19,0.0714102610945701,nicardipine,HELA
15420779,YEATS2,3.4735962319240183e-19,0.2384415864944458,nicardipine,HELA
15420780,CSNK2A1,3.6975309286799123e-19,0.2877204716205597,nicardipine,HELA
15420781,NXF3,3.900784657713013e-19,0.1508206725120544,nicardipine,HELA
15422762,SMO,3.7828290076339785e-24,-0.3379094302654266,bambuterol,HELA
15422763,RDH5,8.324966639911985e-23,-0.3177679479122162,bambuterol,HELA
15422764,ING4,1.6219966798736698e-22,-0.3152222633361816,bambuterol,HELA
15422765,AMT,2.563294902472303e-22,-0.4094036817550659,bambuterol,HELA
15422766,WDR59,3.195002211511528e-22,-0.2689423859119415,bambuterol,HELA
15422767,FAXDC2,7.577126530574264e-21,-0.2312269657850265,bambuterol,HELA
15422768,FAN1,7.968570322844111e-21,-0.2397448271512985,bambuterol,HELA
15422769,RPS17,1.0208497091063727e-20,-0.2598467469215393,bambuterol,HELA
15422770,CCDC130,1.091517834223075e-20,-0.3137020766735077,bambuterol,HELA
15422771,SLC8A2,1.3816792284248862e-20,-0.2715336680412292,bambuterol,HELA
15422772,ZNF446,1.452571792218123e-20,-0.3241117000579834,bambuterol,HELA
15422773,ARID5A,1.5934811634652863e-20,-0.1912215650081634,bambuterol,HELA
15422774,EFR3B,1.820434685535089e-20,-0.391615480184555,bambuterol,HELA
15422775,SLC6A5,2.1814572791646e-20,-0.4308822751045227,bambuterol,HELA
15422776,TMEM161A,2.46361031384422e-20,-0.4008973240852356,bambuterol,HELA
15422777,GFOD1,2.8023311426497244e-20,-0.2681773900985718,bambuterol,HELA
15422778,POU5F1P3,3.1870227609276394e-20,-0.345560073852539,bambuterol,HELA
15422779,SERPINF2,3.392270311680481e-20,-0.2575144171714782,bambuterol,HELA
15422780,HGD,3.519052381074983e-20,-0.2483208328485489,bambuterol,HELA
15422781,OR7C2,4.384270238792559e-20,-0.3304055035114288,bambuterol,HELA
15424762,CHMP4A,1.1409027438365826e-15,0.1685942709445953,neratinib,HELA
15424763,ASAH1,1.906488721912898e-15,0.1993238776922226,neratinib,HELA
15424764,PSIP1,3.866591152158e-15,0.0709094330668449,neratinib,HELA
15424765,DECR1,7.685408032276824e-15,0.1627755612134933,neratinib,HELA
15424766,CAT,7.999312221964622e-15,0.1186847314238548,neratinib,HELA
15424767,FZD7,1.9461779353792632e-14,0.3773157596588135,neratinib,HELA
15424768,IKBKB,2.0445216262436852e-14,0.1424387246370315,neratinib,HELA
15424769,ANXA7,8.37418340486501e-14,0.1255417168140411,neratinib,HELA
15424770,GTF2E2,1.0672995686744105e-13,0.2024384289979934,neratinib,HELA
15424771,KRT38,1.1250568593930465e-13,0.3167502582073211,neratinib,HELA
15424772,APPBP2,1.1468121429470692e-13,0.224465474486351,neratinib,HELA
15424773,ZDHHC6,1.2233328097842134e-13,0.0639328360557556,neratinib,HELA
15424774,FBXO22,1.226261232830052e-13,0.417361855506897,neratinib,HELA
15424775,CCNE2,1.326860623542042e-13,0.1657946854829788,neratinib,HELA
15424776,PPP2CB,1.632587829027857e-13,0.2407980859279632,neratinib,HELA
15424777,AFF4,1.7532886800976796e-13,0.3632315993309021,neratinib,HELA
15424778,TM9SF2,1.76583041573381e-13,0.1750073879957199,neratinib,HELA
15424779,KRT37,1.8125754467030204e-13,0.4155324697494507,neratinib,HELA
15424780,UBE2E1,2.0167961496663694e-13,0.2475189119577407,neratinib,HELA
15424781,BIRC2,2.0602729643591178e-13,0.3587403297424316,neratinib,HELA
15426762,POLE2,3.0436743226704003e-16,-0.2018122225999832,enalapril,HELA
15426763,DNM1L,7.356426169657786e-16,-0.0753971263766288,enalapril,HELA
15426764,C5,1.4567531365718234e-15,0.6107215881347656,enalapril,HELA
15426765,ATP6V1D,6.556333047073509e-15,-0.0477234199643135,enalapril,HELA
15426766,PDHX,1.4549531776562694e-14,-0.104742132127285,enalapril,HELA
15426767,DERA,2.670919874353329e-14,-0.1060547232627868,enalapril,HELA
15426768,GUCY1B1,1.5111048676599472e-13,-0.214478000998497,enalapril,HELA
15426769,HIF1AN,1.5519566026862977e-13,-0.3319588601589203,enalapril,HELA
15426770,NSMCE4A,1.7730611063246489e-13,-0.2279408723115921,enalapril,HELA
15426771,UBA3,1.8564145361972992e-13,-0.1999764591455459,enalapril,HELA
15426772,NMT2,2.010430168092753e-13,-0.5495654344558716,enalapril,HELA
15426773,SLC25A46,3.73455483120884e-13,-0.1333491951227188,enalapril,HELA
15426774,COX4I1,4.381254048066575e-13,0.3620566129684448,enalapril,HELA
15426775,HSBP1,4.381254048066575e-13,0.2062224447727203,enalapril,HELA
15426776,RPL5,4.683013668633351e-13,0.3396977484226227,enalapril,HELA
15426777,UGDH,5.260945671262536e-13,-0.1461898982524871,enalapril,HELA
15426778,TICAM1,9.624239169380632e-13,0.4004655182361603,enalapril,HELA
15426779,TCF25,1.0619948269457337e-12,0.2511900961399078,enalapril,HELA
15426780,IVL,1.4863447141037477e-12,-0.2396698296070099,enalapril,HELA
15426781,EAPP,1.542711080864091e-12,-0.324036955833435,enalapril,HELA
15428762,PLSCR1,1.467193060065474e-26,-0.2352644652128219,trimipramine,HELA
15428763,SPATA2,1.289078394760326e-25,-0.3642816245555877,trimipramine,HELA
15428764,RRP8,9.46780385326932e-25,-0.1911628395318985,trimipramine,HELA
15428765,DET1,1.0432502016243534e-24,-0.1442665755748748,trimipramine,HELA
15428766,SLC24A1,1.2474207179515075e-24,-0.5303832292556763,trimipramine,HELA
15428767,APPBP2,5.156889718956035e-24,-0.264350026845932,trimipramine,HELA
15428768,WASHC3,2.442404458737937e-23,-0.2309342175722122,trimipramine,HELA
15428769,PPCDC,2.5681031551573346e-23,-0.3287048041820526,trimipramine,HELA
15428770,ALDOC,1.6735278832697545e-22,-0.1207677647471427,trimipramine,HELA
15428771,HSPA1A,2.037452362443204e-22,0.2602815628051758,trimipramine,HELA
15428772,GCC1,5.31940339622174e-22,-0.3665104806423187,trimipramine,HELA
15428773,GTF2H5,6.179711762642957e-22,-0.3009015917778015,trimipramine,HELA
15428774,RNF103,8.469998042137774e-22,-0.4036444127559662,trimipramine,HELA
15428775,LLGL2,9.218657463123092e-22,-0.23615063726902,trimipramine,HELA
15428776,ZNF184,9.444336831671633e-22,-0.3101179301738739,trimipramine,HELA
15428777,VIPAS39,1.5177539934105902e-21,-0.2936108112335205,trimipramine,HELA
15428778,SLC43A3,2.090706860071676e-21,0.1503636389970779,trimipramine,HELA
15428779,BCKDHB,2.472439221333911e-21,-0.4097143709659576,trimipramine,HELA
15428780,CHMP4A,2.502205189214732e-21,-0.072469487786293,trimipramine,HELA
15428781,HOXA10,3.725485085872445e-21,-0.1482308804988861,trimipramine,HELA
15430762,HOXA10,5.700119732493652e-25,-0.1426091641187667,fluorouracil,HELA
15430763,NUSAP1,1.1945108603862127e-24,-0.1343750655651092,fluorouracil,HELA
15430764,UBQLN2,1.5659604099984614e-24,-0.1919800043106079,fluorouracil,HELA
15430765,DPM3,1.1675909995367165e-23,-0.1813724637031555,fluorouracil,HELA
15430766,TMEM80,4.1926866499945384e-23,-0.2673646211624145,fluorouracil,HELA
15430767,SPATA2,1.8092025560521744e-22,-0.3042717278003692,fluorouracil,HELA
15430768,APPBP2,2.757933292176789e-22,-0.2300892472267151,fluorouracil,HELA
15430769,FAXDC2,3.735325277205137e-22,-0.2467842549085617,fluorouracil,HELA
15430770,CHMP4A,4.404927961288339e-22,-0.068585492670536,fluorouracil,HELA
15430771,PPIC,8.930714225123643e-22,-0.2834249138832092,fluorouracil,HELA
15430772,DNASE1L1,1.0597009847472484e-21,-0.3425792455673218,fluorouracil,HELA
15430773,NOLC1,1.0678724545125065e-21,0.1581000238656997,fluorouracil,HELA
15430774,DCUN1D4,1.2402753281533116e-21,-0.2226660102605819,fluorouracil,HELA
15430775,ATG4A,1.2594438560085597e-21,-0.1712418049573898,fluorouracil,HELA
15430776,FIS1,1.2838171460764246e-21,-0.1511342674493789,fluorouracil,HELA
15430777,SHROOM2,1.407461469946866e-21,-0.3079754412174225,fluorouracil,HELA
15430778,TMEM161A,1.8289348896820105e-21,-0.4179340004920959,fluorouracil,HELA
15430779,PHF8,1.8892633014648967e-21,-0.2809565961360931,fluorouracil,HELA
15430780,TSPAN6,2.175639150010932e-21,-0.1956103146076202,fluorouracil,HELA
15430781,TTI1,2.916406396733481e-21,-0.3662443161010742,fluorouracil,HELA
15432762,TINF2,5.1024623002848085e-14,0.2720407545566559,aripiprazole,HELA
15432763,AGMAT,5.6221753394926816e-14,0.398030549287796,aripiprazole,HELA
15432764,BTD,9.241843177055072e-14,0.346045970916748,aripiprazole,HELA
15432765,HTR1D,1.0571159444207093e-13,0.3682232797145843,aripiprazole,HELA
15432766,ANXA7,1.280166364614914e-13,0.1276575922966003,aripiprazole,HELA
15432767,SSX7,1.3236962749185762e-13,0.4419455826282501,aripiprazole,HELA
15432768,CCDC82,1.549300442349837e-13,0.4875743091106415,aripiprazole,HELA
15432769,CRYGA,1.6959082705906606e-13,0.3830520808696747,aripiprazole,HELA
15432770,P4HA2,3.12151205016864e-13,0.2203017771244049,aripiprazole,HELA
15432771,ATF7,3.644917223664106e-13,0.417132556438446,aripiprazole,HELA
15432772,MKRN3,3.713943568283406e-13,0.2947302758693695,aripiprazole,HELA
15432773,PLSCR2,5.473681206668688e-13,0.4147563874721527,aripiprazole,HELA
