names,logfoldchanges
VIM,0.487885594
TYRP1,0.419614524
PSEN1,-0.459039003
S100A4,0.720219731
CAPRIN1,-0.499079764
RC3H2,-0.32657674
SNCA,0.779189765
ATP8A1,0.459420532
SLCO4A1,-0.734259605
HBD,0.833166778
BIK,-0.412252545
TMEM135,-0.501095414
CR2,0.394214362
RBMS1,-0.513378918
SLC3A2,-0.555750668
CRIP2,-0.451070547
CD160,0.916328788
RRAGA,-1.123533368
CRK,-0.411905855
SSBP2,-0.718318999
TOX,0.35995698
YWHAE,-0.626273453
RNF24,-0.622620642
AKR1B10,-0.71988821
AHR,0.333599538
SREBF1,-0.510273397
KRT18,-0.352492452
RRAD,-0.56423527
KRT8,-0.120692268
TYRP1,0.406860858
STC1,-0.294973642
CLTA,-0.740452766
DAD1,-0.454653174
DCT,0.464824528
RWDD3,0.497316986
ZNF274,0.808656275
CACYBP,0.607259333
UCHL5,0.464415342
GTPBP4,0.397141933
MLH1,0.5665676
CPNE3,0.154980958
ITGB3BP,0.479896724
MTHFD1,0.446433604
TCEAL4,0.1576619
SMC1A,0.426256686
ANP32E,0.662770331
CLASP2,0.62453109
STK26,0.358261138
LSM8,0.297836721
PPIP5K2,0.358432442
PRMT3,0.52617085
STK17A,0.491292655
RO60,0.352271855
DYRK2,0.454083771
TAF7,0.379024804
TMEM70,-0.640823781
AKT3,0.57636559
JHY,0.744235218
CSN1S1,0.41899839
ST8SIA1,0.399964362
RLN1,0.458159864
RASA4,-0.455471724
PRKCQ,0.488086343
NCAPD3,0.441782117
YWHAE,-0.596349955
FCN2,0.470130175
KLRK1,0.517380953
KLRB1,0.575217783
LZTS3,0.302408457
CD160,0.830699146
DCP2,-0.35788551
SPTA1,0.46048063
PHLPP2,0.421689421
CRK,-0.353850096
PPP6R3,-0.60883069
THY1,-0.818391681
TARBP1,0.544813991
BCHE,0.6309219
TNFAIP6,-0.451010644
NFKB2,-0.814251184
MLANA,0.495225221
TYR,0.511865616
ANGPT1,-0.449971348
TSPAN7,0.409757644
SSBP2,-0.650588036
ANXA4,-0.604404807
KLRK1,0.499639779
TLE4,0.466172665
TMEM70,-0.585093915
TRABD,-0.869181156
CRIP2,-0.410784692
ZFYVE26,0.561201751
MXRA5,-0.355230957
POGK,0.450034678
LAMB1,-0.921644807
RUVBL1,-0.413050175
CD160,0.874425709
P2RY6,-0.8075701
CST7,0.460683644
RRAGA,-1.116365671
SERPINA5,-0.303535104
BCHE,0.620384753
CRIP2,-0.44313696
TSEN34,-0.363380104
TRIM68,0.596220791
ALX1,0.395239502
KLRC3,0.572761476
TMEM70,-0.554751575
SUCLG2,0.47031647
KLRK1,0.492444605
ATP8A1,0.452511877
COL4A2,-0.789014697
MFAP5,-0.545899272
TLE4,0.458502501
SCAF11,-0.674691141
VIM,0.498020768
DNASE1L3,0.462024778
KRT19,-0.315599144
ARCN1,-0.656105876
CYBRD1,0.519186854
PSEN1,-0.519616306
S100A4,0.760632932
UBE2I,-0.261678874
AKAP17A,-1.001489282
C1QB,-0.614988625
VWA1,-0.789402902
GCH1,-0.493584812
PHC2,-0.816228569
RELB,-0.967217267
TYRP1,0.402074426
PELO,-0.62626946
KDM2A,-0.389532924
IGF2R,-0.442820132
FNDC3B,-0.973090589
JPT2,-0.917960405
CANT1,-0.255676836
CSNK1A1,-0.756537259
KIF2C,-0.927206874
F13A1,-1.153119206
EPPK1,-0.452389508
CPT1A,-0.415645838
CST4,-0.367271751
HEBP2,-0.52184552
CCND1,-0.840595543
SREBF1,-0.438820839
TYMP,-0.497024268
FKBP5,-0.48408553
AKR1B10,-0.577123582
EIF4G1,-0.909222364
SLC41A3,-0.575852811
CARMIL1,-0.756047249
CST2,-0.566724896
VPS28,-0.600520968
RAD9A,-0.976327896
TMPRSS11E,-0.512516618
YWHAE,-0.885751069
ALX1,0.449105054
UBA6,0.633233964
AKT3,0.606642306
JPT1,-0.320124239
SREBF1,-0.532280862
CRK,-0.412475556
LAMB2,-0.673192024
BCHE,0.63239789
AKR1B10,-0.724551439
CSN1S1,0.424874842
NCOR2,-0.48014155
KLRC3,0.596740484
LAMB1,-0.903138101
CD160,0.86440289
WDR26,0.371858716
SCN3A,0.444807976
MTA1,-0.352530688
DCP2,-0.377184212
SUCLG2,0.470252454
TMEM135,-0.531906962
CYBRD1,0.534218073
EIF4G1,-1.227386117
CSNK1A1,-0.941839695
CARMIL1,-0.938031852
SOX4,-0.452127844
ARHGAP22,0.570278585
S100A4,0.794864476
SSBP2,-0.77122134
NUDT9,-0.31792891
AKAP17A,-0.983977914
VIM,0.479771435
UBE2I,-0.285248518
CCNL2,-0.764117897
GID8,-0.399003267
ZDHHC3,-1.004746556
QPCT,0.410780668
TYRP1,0.430458516
CAPRIN1,-0.504149735
TICAM1,-0.927657366
RELB,-1.105263948
LCP1,0.619626224
ADIRF,-0.602451146
IDS,-0.385247588
NOP14,-0.721274972
SOX4,-0.451579541
GPKOW,-0.671103239
QPCT,0.402652711
NFATC1,-0.800801277
DAPP1,-1.17679286
GPRC5A,-0.521247983
TFPI2,0.451342285
BIK,-0.558061302
CHMP6,-1.020945191
WDR45,-0.652781308
PLSCR3,-0.481805861
GAREM1,-0.428259462
S100A8,0.944186389
LPIN2,-0.82432276
AKAP8L,-0.482443959
GID8,-0.401796699
JPT2,-0.973664641
SLC16A1,-0.989199519
PCSK5,-0.740960002
CSNK1A1,-0.856572688
DUSP1,-1.114753366
UBE2I,-0.287455767
PAPSS1,-0.66098696
FGA,-0.580900431
PELO,-0.611174285
SLC35E1,-0.503885508
GGCX,-0.470007807
SOX4,-0.380176932
DNASE1L3,0.384907007
SNCA,0.736420155
CLEC3B,-0.503867865
HP1BP3,-0.65933907
MCC,-0.7948457
CNOT6,-0.494386017
ABCC1,-0.620617509
RUVBL1,-0.440709352
CST7,0.484468073
SYNE1,0.413603365
CD160,0.880691528
RRAGA,-1.104041457
KRT8,-0.160786599
JPT2,-0.941031516
FBLN2,-0.689155698
COL18A1,-0.600291491
KLRC3,0.600340426
TYRP1,0.402036726
SLCO1C1,0.56904006
SH3GLB2,-0.483101904
RNF24,-0.619946718
BTN3A3,0.759395599
DUSP1,-1.044353962
TRIM68,0.560355544
AHR,0.330739349
CLTA,-0.761094749
CYP11A1,-0.935080647
RBMS1,-0.656253457
TBL3,-0.873133898
UBE2I,-0.285682827
CSNK1A1,-0.899228573
NFIB,-0.424781919
PPP4R1,-0.814725399
DNASE1L3,0.409545749
PRPF31,-1.032760143
HMOX2,-0.411371171
RRAGA,-0.974573135
GNA11,-0.416623741
PANX1,-0.526447117
TSPAN5,-0.834099591
VCP,-0.661450922
COL4A2,-0.766630471
PMEPA1,-0.435457468
ATP6V0C,-0.314635068
RNF24,-0.560883522
FKBP5,-0.532548785
SLC3A2,-0.511076152
PTK2B,0.797605574
COQ8A,-0.643466055
CCND1,-1.119054556
ENO1,-0.804674089
RPS2,-1.050784469
RPL11,-0.888110697
RCN3,-1.367756486
B4GAT1,-0.586310387
MEF2C,0.70799315
CCT3,-0.601816297
IKZF1,-0.802291811
GLG1,-0.828111351
KLRF1,0.665643573
CLIC2,0.987578988
YIF1A,-0.779186547
ALDH18A1,-0.422436565
HOXC6,-1.036481261
ERG28,-0.420978397
CLDN16,0.44290036
PEA15,0.476733118
AFF3,-1.010714412
SOAT2,-0.971627414
MAGI2,0.851553321
GLP1R,-0.769037902
PRRX2,-0.817548394
CDK10,-0.899514198
PKLR,-0.76930654
LCN1,-1.20144558
PKD2L1,-0.878953576
NEURL1,-1.226428628
OXT,-1.116983175
LSM1,-0.975135684
CRYGD,-0.604803801
CSF3,-0.775859654
PAX2,-1.019903779
NINJ2,-0.874901414
NSD3,-1.270980597
IKZF1,-0.785855293
UNC5B,-0.985234141
BRF2,-0.854664564
COL2A1,-1.198124647
CST1,-0.39602977
TNP1,-1.173313022
SLC13A4,-1.384248734
CD82,-1.124643683
IKZF1,-0.796183944
RASGRF1,-1.075432062
CCND1,-1.039622068
GABRD,-0.864210904
BIRC7,-0.78761518
IBSP,-0.825974405
ENPP2,-0.508105218
RPL13,-0.634535849
MATN1,-1.200104952
ITGA10,-0.719923794
KCNN4,-0.686088204
TFF2,-0.675839305
ADCYAP1,-0.905692577
CUL2,0.358795971
DFFA,-0.450784117
MATN1,-1.206536531
MAP3K3,-0.649843991
BCL10,-1.010457635
PRRX2,-0.836726964
RCN3,-1.36165452
FADS2,-0.72081095
ABCG4,-1.080303788
ITGA10,-0.818846107
COL1A1,-0.592068911
SLC7A10,-1.069566846
VCAN,-0.535728753
PKLR,-0.699397683
POLG2,-0.782815754
HTRA1,0.616387188
BCL2L10,-1.304994345
CR1,-0.794396579
A4GALT,-1.099389672
HAAO,-0.830210865
IKZF4,-1.056312442
RPS3,-0.920675635
MAGI2,0.913494051
CDCA4,-0.611203372
CAPN6,-0.40022397
AURKA,-0.948650241
VPREB1,0.38831827
AKR7A3,-0.58002001
CFLAR,-0.564358473
GPSM2,-0.5297212
