,names,pvals,logfoldchanges,condition,cellline
10016,TPD52L2,2.445709650864649e-18,-0.4394694566726684,rosiglitazone,A549
10017,MRPS31,2.7586731611776037e-18,0.1870039403438568,rosiglitazone,A549
10018,RPS27A,3.2677892414258854e-18,0.2481933981180191,rosiglitazone,A549
10019,PLEK,3.539962012702824e-18,-0.3804945349693298,rosiglitazone,A549
12000,CD177,7.447626162669077e-05,-0.4530133008956909,BRD-K76188144,A549
12001,GDF9,7.807322930155242e-05,-0.643648624420166,BRD-K76188144,A549
12002,MGAT4A,9.527388724564273e-05,-0.6824865937232971,BRD-K76188144,A549
12003,UTRN,0.0001051608059148,-0.504645824432373,BRD-K76188144,A549
12004,ADAM10,0.0001057715516809,-0.3878416717052459,BRD-K76188144,A549
12005,TXLNG,0.0001166803895515,-0.3917809426784515,BRD-K76188144,A549
12006,DUSP4,0.0001193971005514,0.2223160713911056,BRD-K76188144,A549
12007,RMC1,0.0001207777170735,-0.4657478630542755,BRD-K76188144,A549
12008,MMP8,0.0001279095030964,-0.5577245950698853,BRD-K76188144,A549
12009,IFI16,0.0001286441090026,-0.4380146265029907,BRD-K76188144,A549
12010,UPB1,0.0001293826897227,-0.5980085730552673,BRD-K76188144,A549
12011,KTN1,0.0001338987734294,-0.333787053823471,BRD-K76188144,A549
12012,COL4A5,0.0001417571883151,-0.2903239130973816,BRD-K76188144,A549
12013,RAB27A,0.000144198141855,-0.5767756104469299,BRD-K76188144,A549
12014,KIF1B,0.0001475143586285,-0.5457320809364319,BRD-K76188144,A549
12015,CD164,0.0001509022875287,-0.4483260214328766,BRD-K76188144,A549
12016,ECD,0.0001552402412569,-0.3923571705818176,BRD-K76188144,A549
12017,LDLRAP1,0.000156121800001,-0.4920783638954162,BRD-K76188144,A549
12018,MBTPS2,0.000158794830516,-0.3612459301948547,BRD-K76188144,A549
12019,COPB2,0.0001606007147177,-0.2799842953681946,BRD-K76188144,A549
14000,PRB4,7.320866521373254e-13,-0.3251813948154449,carbamazepine,A549
14001,CD52,2.0955748841494558e-12,0.2260252833366394,carbamazepine,A549
14002,ARHGEF9,2.7551008025052355e-12,0.3127036690711975,carbamazepine,A549
14003,PRB1,2.339636332980856e-11,-0.3970224857330322,carbamazepine,A549
14004,VWA5A,4.07086969798272e-11,0.2299990504980087,carbamazepine,A549
14005,SALL2,6.049750129554833e-11,0.2360751032829284,carbamazepine,A549
14006,RCBTB1,7.483038247199024e-11,-0.2760456502437591,carbamazepine,A549
14007,ODAM,8.350235044383713e-11,-0.2293426990509033,carbamazepine,A549
14008,FBXL12,1.5741632813584786e-10,0.3617609441280365,carbamazepine,A549
14009,ANKRD12,2.1152425921063988e-10,-0.2582491040229797,carbamazepine,A549
14010,HSPA4L,4.3185866071710445e-10,-0.1696031242609024,carbamazepine,A549
14011,RGS2,4.6549320165917087e-10,0.2338791042566299,carbamazepine,A549
14012,TRIB2,4.841181530430968e-10,0.2006598860025406,carbamazepine,A549
14013,GGA1,5.386877944079902e-10,0.2866288721561432,carbamazepine,A549
14014,CCDC25,5.80411688131682e-10,0.2413969337940216,carbamazepine,A549
14015,EIF4H,6.230716339414775e-10,-0.1999536454677581,carbamazepine,A549
14016,PAPSS2,7.039575500757642e-10,0.1747400611639022,carbamazepine,A549
14017,IDH3A,7.894736642230265e-10,-0.3083469271659851,carbamazepine,A549
14018,CR2,1.013036572460404e-09,0.2010821402072906,carbamazepine,A549
14019,MMP1,1.3345311561242983e-09,0.434977114200592,carbamazepine,A549
16000,PMAIP1,2.3760443700605097e-124,0.6630764603614807,mitoxantrone,A549
16001,CDKN1A,1.86268086662288e-119,0.7391754388809204,mitoxantrone,A549
16002,HJURP,4.095648256054686e-118,-0.5934508442878723,mitoxantrone,A549
16003,NRF1,1.6284404492033345e-111,-0.7416350245475769,mitoxantrone,A549
16004,CENPI,4.5313346157531254e-111,-0.8260201215744019,mitoxantrone,A549
16005,TTK,4.7946332256526556e-110,-0.8168659806251526,mitoxantrone,A549
16006,POLQ,9.641232006217642e-107,-0.7197089791297913,mitoxantrone,A549
16007,NEIL3,1.751474748486006e-106,-0.4869552552700043,mitoxantrone,A549
16008,ASPM,4.749479066392313e-106,-0.5847005248069763,mitoxantrone,A549
16009,TRIM22,7.032773668248408e-106,0.3677840530872345,mitoxantrone,A549
16010,STIL,9.552320611056533e-105,-0.6796512603759766,mitoxantrone,A549
16011,BLM,5.617547029497711e-104,-0.6289399266242981,mitoxantrone,A549
16012,GADD45A,7.188513796817243e-104,0.395062655210495,mitoxantrone,A549
16013,DLGAP5,7.897046255030325e-104,-0.651592493057251,mitoxantrone,A549
16014,KIF15,8.567226649065249e-104,-1.0472239255905151,mitoxantrone,A549
16015,KIF18B,2.3712174031084893e-103,-0.3002251088619232,mitoxantrone,A549
16016,BTG2,3.1299879700220744e-99,0.3241546154022217,mitoxantrone,A549
16017,AURKA,2.586485366183277e-98,-0.6499085426330566,mitoxantrone,A549
16018,SESN1,2.8805098089450264e-98,0.6562702059745789,mitoxantrone,A549
16019,KIF4A,3.024403142714062e-98,-0.7357578873634338,mitoxantrone,A549
18000,GAA,1.3602057948289445e-11,0.2457922250032425,aspirin,A549
18001,ALDOA,1.4099001353790394e-10,0.2168791890144348,aspirin,A549
18002,CDKN1A,2.0943408635511958e-10,0.2818110287189483,aspirin,A549
18003,CDK4,7.31310047017706e-10,0.134385660290718,aspirin,A549
18004,HEATR1,9.331205403673452e-10,0.1932225227355957,aspirin,A549
18005,ROS1,1.0521959407602235e-09,0.4678823053836822,aspirin,A549
18006,ANKFY1,1.3111787521321379e-09,0.4122960865497589,aspirin,A549
18007,CLTB,1.5053537027779861e-09,0.3268077075481415,aspirin,A549
18008,WDR4,1.5562676188969154e-09,0.427844226360321,aspirin,A549
18009,PML,2.000151666443775e-09,0.552352786064148,aspirin,A549
18010,ECPAS,2.652104142402682e-09,0.3588316142559051,aspirin,A549
18011,CDA,3.08015159652801e-09,0.2238233983516693,aspirin,A549
18012,TFDP1,3.2726383016500593e-09,0.3005305528640747,aspirin,A549
18013,FKBP5,3.977987876828242e-09,0.2261757403612136,aspirin,A549
18014,MXD1,4.283902372362453e-09,0.4379250109195709,aspirin,A549
18015,HNRNPU,4.655448604940781e-09,0.2899666726589203,aspirin,A549
18016,LAMP1,5.011898551528072e-09,0.3135207891464233,aspirin,A549
18017,SLC35F6,5.345467133940528e-09,0.3347164988517761,aspirin,A549
18018,ANO10,6.1345947188012825e-09,0.3839462995529175,aspirin,A549
18019,CBR1,7.364974549450741e-09,0.132728025317192,aspirin,A549
20000,CCNB1IP1,1.3414541003732813e-29,0.2098465114831924,sorafenib,A549
20001,CLIC4,3.3528638407107614e-27,0.0859888345003128,sorafenib,A549
20002,CCNF,4.379491728537433e-26,-0.5110491514205933,sorafenib,A549
20003,TSC22D3,4.546640461766885e-26,0.4940839409828186,sorafenib,A549
20004,CCND3,6.390873911152623e-26,-0.2214958816766739,sorafenib,A549
20005,GCFC2,2.0176631817890069e-25,0.2934419512748718,sorafenib,A549
20006,DNAJC10,3.993047015041428e-25,0.2684810161590576,sorafenib,A549
20007,PMAIP1,6.128227372519289e-25,0.2819233238697052,sorafenib,A549
20008,RIPK2,7.704686185415847e-25,0.286926805973053,sorafenib,A549
20009,GFPT1,1.3510030944379091e-24,0.2639922797679901,sorafenib,A549
20010,ITCH,3.31820133431518e-24,0.4102529287338257,sorafenib,A549
20011,CEBPG,5.873172526306011e-24,0.1897588521242141,sorafenib,A549
20012,COPB1,8.103711948712621e-24,0.1844534873962402,sorafenib,A549
20013,PMS1,1.3298174173351017e-22,0.2014465630054474,sorafenib,A549
