,names,pvals,logfoldchanges,condition,cellline
2031671,PATZ1,4.2857395535619e-126,-0.3215545415878296,vorinostat,MCF7
2031672,MRPL46,5.845629857221979e-126,-0.2079809457063675,vorinostat,MCF7
2031673,URB2,1.3820836517194524e-125,-0.4114011824131012,vorinostat,MCF7
2031674,MVP,1.3943732942103583e-125,0.4676477313041687,vorinostat,MCF7
2031675,PARP2,1.682927498582416e-125,-0.2238593995571136,vorinostat,MCF7
2031676,GRN,4.2401236103609233e-125,0.2312871664762497,vorinostat,MCF7
2031677,GLRX,5.7444330784175e-125,0.5064442157745361,vorinostat,MCF7
2031678,SRSF7,2.3738682699141384e-124,-0.3682658076286316,vorinostat,MCF7
2031679,KEAP1,2.5229138293197398e-123,-0.2760374844074249,vorinostat,MCF7
2031680,CHTOP,1.1571418769310651e-122,-0.3179401755332947,vorinostat,MCF7
2031681,NFKB1,1.0163976119079729e-121,-0.4614590108394623,vorinostat,MCF7
2033662,FOXE1,1.5647431540641053e-18,-1.2256728410720823,zileuton,MCF7
2033663,SYK,5.001379425864819e-18,-0.7099289894104004,zileuton,MCF7
2033664,BCCIP,5.463235562087594e-18,-0.3998888432979584,zileuton,MCF7
2033665,VAMP3,8.110394923091191e-18,-0.507622241973877,zileuton,MCF7
2033666,HCCS,8.560639131233304e-18,-0.5578061938285828,zileuton,MCF7
2033667,PIK3C3,1.0717560950636169e-17,-0.5767025947570801,zileuton,MCF7
2033668,C18orf25,6.125974717444065e-17,-0.4191775619983673,zileuton,MCF7
2033669,ERP44,1.752369375844299e-16,-0.5127522349357605,zileuton,MCF7
2033670,KPNA4,2.0513130206255484e-16,-0.519237756729126,zileuton,MCF7
2033671,PPP2R2A,2.8200089558622284e-16,-0.4671966433525085,zileuton,MCF7
2033672,CEP97,3.6776678847404033e-16,-0.6639255881309509,zileuton,MCF7
2033673,RAB13,3.8877391577047925e-16,-0.3880190551280975,zileuton,MCF7
2033674,LNPEP,4.99968439253107e-16,-0.5721940994262695,zileuton,MCF7
2033675,TWF1,8.280810512502588e-16,-0.4582616090774536,zileuton,MCF7
2033676,OVGP1,1.0268090076018877e-15,0.3053856790065765,zileuton,MCF7
2033677,RBMX,1.0552961400739418e-15,-0.3523324429988861,zileuton,MCF7
