names,logfoldchanges
TMEM8B,0.292970777
PIGF,-0.36615926
ANKRD12,-0.495414048
ZNF552,-0.689846456
CYP20A1,-0.252074003
MED6,-0.318018943
ARRB1,-0.673910797
PYCR1,-0.269322217
FBXO38,-0.457040548
CTSL,-0.120442532
TANK,-0.287561089
CACNA2D3,-0.289749026
CEBPB,-0.203035951
INPP1,-0.309957743
EDN1,-0.2319552
CHP1,-0.675166368
MX2,0.404362172
GABRA1,-0.371437907
SLC19A3,-0.362507552
FGF9,-0.355492681
EPAS1,-0.42822805
ZBTB18,0.238270283
ALAS1,-0.136486441
ZFP36L2,-0.238682568
C18orf25,-0.30110395
MAF,0.145642206
ATP11B,-0.226379648
KLHDC2,-0.175382003
POLR3C,-0.357188791
SEC24B,-0.239502132
SNRPB2,-0.349696845
PISD,-0.277516723
CRNKL1,-0.415752679
HMGCS1,-0.066980779
GRK6,0.436849624
RAD1,-0.26031816
YARS2,-0.115475185
DNAJA2,-0.3220433
MTRR,-0.286257178
ACSL3,-0.299755901
RIF1,-0.454804718
ITGB1BP1,-0.105676025
PANK2,-0.159588575
CDKL3,0.246223107
LRPPRC,-0.407317996
ZMPSTE24,-0.401646823
DNAJA1,-0.382404804
PLAA,-0.529397547
CAAP1,-0.397008717
FOCAD,-0.57426697
SNAPC3,-0.486175269
TIPARP,-0.23065038
FOXN3,-0.34707278
PUM3,-0.404310554
CDC37L1,-0.611055732
RRAGA,-1.154392481
ACO1,-0.274689138
KDM4C,-0.409803092
DENND4C,-0.851030171
CHMP5,-0.601156652
HAUS6,-0.422815472
RANBP6,-0.609399199
TOPORS,-0.428854793
UBAP2,-0.388201386
JAK2,-0.454985887
PSIP1,-0.3609595
MPIG6B,0.794184089
KRTAP1-3,0.963032007
CEACAM3,0.906987786
NAB2,0.507288575
RBMY2FP,0.822763979
CDH8,0.701450706
PDZD3,0.515308619
EIF1B,-0.459876627
CNTN6,0.632820129
NR6A1,0.878939271
HTR1B,0.734257042
PRDM11,0.695175409
CRYBA1,0.66204381
GPLD1,0.730066299
GPR25,0.684121668
ADAM29,0.755338192
EPHA7,0.56384486
SLC4A5,0.641723037
GLP2R,0.765243232
DMP1,0.912293375
RPL8,0.375613987
HMGCS1,-0.078844927
LSM5,-0.284299463
NPM3,0.339647591
PTBP2,-0.591947198
SDCBP,-0.307635039
CYP1B1,-0.259974748
DDX51,0.446028322
MED31,0.343978733
TRIM25,0.512229383
OGFOD2,0.365169495
KLF11,-0.318669617
DOK1,0.5550282
AGPAT3,0.386255503
TMED9,0.410032272
WWP1,-0.270025849
ACTB,0.27572602
GLA,-0.290262252
SOAT2,0.301641583
USP25,-0.415244192
LSM5,-0.100010417
DYNC1LI1,-0.303298384
KRT24,0.354702413
NPY1R,-0.248338208
NKAPD1,-0.311718762
RANBP6,-0.496209919
TP73,0.560462236
CELF2,-0.396763891
MALL,0.223311603
GAPDH,0.391262174
PARD6B,0.394287229
RCC1,0.276843131
ACAT1,-0.211785078
SLC4A5,0.439767331
GAST,0.446360022
PAX9,0.449109435
KIF16B,-0.363151401
RALGAPA1,-0.328923285
ACO1,-0.203516319
EPAS1,0.335926235
OXSR1,-0.37456584
EFHD1,0.278711349
NOP10,-0.268277287
COA3,-0.159350932
RAF1,-0.341625422
ARRB2,-0.495862663
MRPL17,-0.183174565
ZNF32,-0.147464395
PPFIA4,-0.206010163
PTMA,0.425522923
MAP2K5,-0.306629896
BLVRB,-0.317471921
PSME1,-0.157442942
TRAM2,0.175634086
NENF,-0.212889627
ZFC3H1,0.270457596
DDT,-0.237857506
UBE2D4,-0.321808815
PRAME,-0.224505603
GLI2,0.248881742
DAB1,0.710072815
RASSF8,0.568561673
NR6A1,0.866279066
ZNF221,0.74931854
CR2,0.35685721
LRRC3,0.719239116
PRDM11,0.652632117
MLC1,0.370518416
MPP2,0.394324243
FGF23,0.623647988
DAO,0.783741474
CEP41,0.647635639
PAX7,0.705592632
SEMA7A,0.734661281
SIGLEC6,0.478736967
GJB4,0.602255464
GFM1,0.775477707
GRK4,0.387541026
MAML3,0.765656054
ZIM2,0.58270067
POP4,-0.184023768
UQCRFS1,-0.299283564
GTF2A2,-0.197376147
YARS2,-0.16885893
TIMM9,-0.156899467
CCNB1IP1,-0.135732204
CCNB2,-0.080641739
EIF2B3,-0.243964374
PEX19,-0.306730747
BTK,0.161505237
RAE1,-0.265675008
NGDN,-0.335681438
RNF41,-0.363659889
MRPS35,-0.190255597
DCAF8,-0.277174264
METTL17,-0.203211233
FEM1B,-0.268958092
SERPINC1,0.42807743
GNPAT,-0.176880628
VPS45,-0.303515524
PTBP2,-0.501198709
KDM3A,-0.155327097
SDCBP,-0.299026102
PBX3,-0.228938848
SULT1E1,0.22784619
RPL8,0.322962821
HMGCS1,-0.065321505
PLCE1,0.245213851
HSPA12A,-0.422798097
ARHGAP32,-0.310036361
PLA2G2D,0.359427035
CAPRIN2,-0.184789434
GAPDH,0.391262174
SLC35C2,0.253855586
HLA-DOA,0.365885168
EPAS1,0.364858091
TMPRSS4,0.267431021
TRIM25,0.460890442
FURIN,0.425228536
GPR39,0.318726808
ADARB1,-0.277424395
MUC16,0.21327807
PSMD5,-0.15659909
ERGIC3,0.207224607
PCNA,-0.067109354
TSN,-0.212576047
SGPL1,0.200027391
CAPN1,0.381399751
PRPF3,-0.309168637
HSPA9,-0.276687831
TLE1,-0.122072697
ZC2HC1C,0.360041291
IGFBP2,0.243046194
MUC1,0.135821059
QRICH1,-0.169498518
CCNB1,-0.061552361
NOTCH3,-0.49012351
HK2,-0.213590264
STK16,0.253636569
ALDH7A1,-0.398322433
ASCC2,0.392071694
MTG1,0.314817399
RPL28,-0.396405965
TMEM109,0.144007012
C20orf27,0.228840321
MGAT4B,0.440542817
RPL11,-0.303854346
SH3GL1,0.313506424
BYSL,0.182915702
LDLR,0.252696604
RAD23A,0.251206368
ZNF576,0.246585026
SGSH,0.424856156
B4GALT7,0.432908267
EEF2KMT,0.223073035
TPRA1,0.402453482
AQP1,-1.687219739
NOL12,0.219537988
BCKDK,0.465278834
POLG2,-0.796903968
RPL27,-0.513424337
RPS24,-0.688379049
RPL7A,-0.659653068
RPL23A,-0.751751244
RPS18,-0.740566015
RPS23,-0.619726598
RPS4X,-0.512461424
RPL37A,-0.781018198
RPS29,-0.487045676
EEF1A1,-0.604894042
RPL9,-0.444644064
RPS10,-0.557086468
RPL19,-0.444392025
RPS12,-0.54455179
RPS21,-0.57499975
RPL41,-0.778943956
RPS3A,-0.382212639
RPS13,-0.442933321
RPL32,-0.55069679
MRPL58,-0.27638188
TUBB6,-0.304671019
SLC33A1,-0.198281035
RWDD3,-0.145739213
ZBED8,-0.232627377
MRPL35,-0.196925193
CEP97,-0.344596505
RPS29,-0.36470744
BOP1,0.171365559
EEF1E1,-0.148091912
FAM204A,-0.25458321
MAP3K8,0.219591513
RPS21,-0.42148301
FOXN2,-0.247181475
DDX24,0.186919093
ZNF354A,-0.214941457
TLR3,-0.234499693
LAMTOR5,-0.312131375
VPS33B,-0.206232116
RPS12,-0.394649953
ADSL,-0.123658471
RPL27,-0.392199576
RPS12,-0.545605123
CA4,-0.387815744
ENTPD5,-0.388687313
DSCC1,-0.405775815
PSMD9,0.19337517
RPS29,-0.473537207
RAP1GAP,-0.335265279
ZMYM6,-0.577700257
SLC35A1,-0.219771937
RPS21,-0.47053352
PDE5A,-0.427460819
RPS3A,-0.34061417
SOX9,-0.307337999
CNPY2,0.232294604
JMJD6,0.129345834
RPL22,-0.424285799
TRIM24,-0.378293604
TXNL4A,0.183469787
UBE2L6,-0.319387734
ADGRB2,0.590628445
TRIM46,0.565657318
CPSF4,0.212720037
ANKS1B,0.584972203
SLC2A4,0.633796155
ASIC3,0.612406552
F2RL3,0.543040454
LIN7B,0.533314168
GTF2F1,0.250444114
CCL7,0.444824576
CRYBB1,0.586932719
RSPH14,0.43811807
DCAF15,0.433144063
KDM8,0.457621634
SERPINI2,0.396303654
BRINP1,0.52679199
PLEKHF1,0.338167101
TULP1,0.411205679
CELA2B,0.352630049
TRPM8,0.411614895
RPS24,-0.674582124
RPS18,-0.688099205
RPL7A,-0.594947696
RPLP0,-0.630312324
EEF1A1,-0.599963605
RPS10,-0.538289189
RPS12,-0.542825937
RPL19,-0.449370921
RPL32,-0.532088101
RPS4X,-0.463724673
RPL31,-0.389848441
RPS19,-0.50246954
RPL30,-0.534001827
RPS29,-0.473916471
RPS23,-0.583701551
RPL23A,-0.666773915
RPL9,-0.416839212
NECAP2,-0.285750985
NGDN,-0.286144465
RPL27,-0.434899718
ASCC2,0.468138665
GCDH,0.259791285
MAP7D1,0.242105678
TNIP1,0.209856451
TXNRD2,0.293873996
EFHD1,-0.704140544
RNF10,0.279036313
CNPY2,0.249607369
LRRC8E,0.311947733
TPRA1,0.44990021
SH3GL1,0.331510514
FOSL2,0.270378619
PYCR1,0.125831425
SLC25A11,0.402471095
CDC37,0.254844368
OAZ1,0.306381941
KLHL18,0.184313506
RRP8,0.21838288
