names,logfoldchanges
RIPPLY3,0.247356787
HSPH1,-0.306038797
CTPS2,-0.294413894
RAB11FIP1,-3.082447767
CDC6,-0.252513647
FHL2,-0.217837736
COL10A1,-0.310465276
ABCG5,-0.448171109
TUFT1,-0.201592177
TUBB1,-0.563283026
N4BP1,-0.31393677
POLE3,-0.162407979
KAT6B,-0.311265498
C3orf52,-0.203886107
CIR1,-0.271091878
UST,-0.227968156
GNAQ,-0.135448143
CYP2C8,-0.331195086
NSD3,-0.46885848
IL1R2,-0.259125501
DNM1L,-0.134708107
SLC25A13,-0.237723038
LGALS13,0.237296984
PAX7,0.233290419
DENND4A,0.18697302
HNF1B,0.204500377
IL22,0.250500739
KISS1,0.154475316
TEX13A,0.25677979
TACR1,0.258984923
NR0B1,0.088316783
ZSWIM1,0.265395612
TRPC7,0.239744052
MASP1,0.237084597
BAIAP2L2,0.208443373
TSSK1B,0.226717234
LLGL1,0.195512578
ARHGEF10L,0.183864087
ACTL6B,0.245939001
LOXL3,0.254215181
MTHFR,0.226299182
SMC3,-0.308107197
GSTZ1,0.222279474
ICAM4,0.459308177
LFNG,0.385192394
TAPT1,0.462848365
BRD4,-0.714622319
PDZD2,-0.504913568
SLC10A1,0.388744771
UPK2,0.391955972
ESF1,-0.617449939
PPWD1,-0.250106603
SOX21,0.410710484
PDE7B,0.478974223
TAT,0.342514038
VPS53,0.423965126
TUB,0.378938228
MEF2C,0.428043604
ZNF12,-0.276188642
KNG1,0.317220896
HEYL,0.367446244
GNPDA1,-0.169144511
NAMPT,-0.326039314
PSMD4,0.236063391
MRPS35,-0.262283593
ACTR3B,-0.419070929
WASL,-0.649408579
DDX31,0.281132251
IDUA,0.419668615
NXPH3,0.594114304
RNF41,-0.410321355
NLRX1,0.410176575
KCNK15,0.463320911
GJB4,0.526890934
OSBPL8,-0.306554407
SEMA7A,0.531261742
ELOVL6,-0.127113596
DHODH,0.419268429
WNT5B,0.315178692
SACM1L,-0.195737019
PPP1R2,-0.619836092
UST,-0.298408538
FRG1,-0.276922345
IKBKB,-0.333892673
FFAR2,-0.425403208
N4BP1,-0.348597914
TSHR,-0.321972668
ATP6V1D,-0.072736681
TCL6,-0.346869558
PAF1,-0.403450221
CEP162,-0.248868242
QSER1,-0.518598974
DUOX1,-0.307490319
AGO1,-0.289846152
TUFT1,-0.213096395
BAMBI,-0.395697981
PTPRZ1,-0.246634498
MAP3K5,-0.177702293
PPP2R5C,-0.302635193
LOXL1,-0.197744384
GOLGA1,-0.155175522
GNPDA1,-0.181264535
TMCO1,-0.193905875
G3BP2,-0.382670581
ELOVL6,-0.128629684
GP9,0.606951416
CHIT1,0.423913807
MRPL41,0.401045233
ATP8B2,0.565875471
RSPH6A,0.566909194
GPRC5D,0.547622323
IL18BP,0.510012746
DOK3,0.407110035
PDE6A,0.448274136
OMP,0.477837831
ACTR3B,-0.384900182
MPIG6B,0.518295109
PRSS50,0.37144658
CPT2,0.32733044
IDUA,0.444307417
SOX21,0.480354518
BFSP2,0.463333637
CORT,0.373959452
XCR1,0.443287551
S100A12,0.31957528
CACFD1,0.345823765
HBB,2.588616371
CLDN9,0.443917036
SOGA1,0.466175288
WDR7,-1.725077748
SOHLH2,0.294779718
TBX4,0.370082706
RAB11FIP3,0.406662971
NOS1,0.407890677
MS4A3,0.325145841
GP6,0.55482322
KCNK15,0.44761622
KLHL11,0.402902395
MSI1,0.422070235
PTH1R,0.270156354
FRMD1,0.499916941
ELOVL6,-0.146608129
TMCO1,-0.210843563
NCOA1,-0.34943229
NAA15,-0.490179896
DDX18,-0.46889928
PPARD,0.320341349
RAP1GDS1,-0.341652572
ADAM2,0.41138038
GNPDA1,-0.157649562
MRPS35,-0.262098938
DNAJC16,-0.418994695
PPP1R2,-0.559248209
SACM1L,-0.194352046
SLC30A9,-0.380797237
CAMK1D,0.382349849
AGFG1,-0.419016421
ADRA1A,0.434165359
SIK3,-0.36421141
CHMP3,-0.30373013
SCNM1,0.423966616
SSBP2,-1.674901366
NR5A2,0.215504512
NR6A1,0.550027549
SLCO1A2,0.38444379
GUCY1B2,0.496286541
PDE6A,0.462588429
TACR3,0.48671338
HCRTR1,0.433126599
KCNK15,0.479085505
ADRA1A,0.470017463
MIP,0.482132047
XCR1,0.397835702
NOS1AP,0.45023486
CASS4,0.446516573
DBF4B,0.507187784
KHDRBS2,0.440165669
SLC35A1,0.174273744
RAB32,0.292169839
CRHR2,0.444360584
MYO1D,0.187251166
MX1,-0.102863036
GRWD1,0.352450848
RSAD2,-0.150981888
ABCG2,-0.121306166
RASGRP1,-0.367902547
COLGALT1,0.143289998
CTDSPL,0.127042904
TSHR,-0.217069551
P3H4,0.252055734
GNS,-0.160272866
PLOD3,0.08279524
PPM1D,-0.228099301
ANKRD49,-0.131511077
PYCR1,0.153007895
PSMD5,-0.123607203
MTG1,0.183208168
APPL2,-0.186472461
P2RY13,-0.254818439
HAS2,0.158413559
ELOVL1,0.134453222
PLAA,-0.709092498
PRKACB,-0.291127145
ASCC1,-0.338065386
CDC37L1,-0.6850366
CAAP1,-0.462445736
OSBPL8,-0.356327504
GNPDA1,-0.160899386
SH3GL2,-0.503952205
SLC25A12,-0.397733539
LIMK2,-0.329418123
TOPORS,-0.509244084
PUM3,-0.465752751
UBQLN2,-0.235478207
DNAJB1,-0.051773354
IFT74,-0.509518981
DYNC1I2,-0.307315409
UCHL5,-0.33453235
AGO1,-0.375610352
SMURF2,-0.275073022
DENND4C,-0.771244049
LUZP4,0.474094808
DNAJA4,0.479112864
MAS1,0.47082442
NSMCE4A,-0.218140528
OR1D2,0.496777683
SCN10A,0.400687188
SLIT1,0.2519072
KCNK15,0.407989413
GRK4,0.367441118
SCIN,0.302453727
ZIM2,0.420311302
AVPR1B,0.430929214
ALS2CL,0.303698331
SLC5A7,0.455252916
PAQR6,0.344120234
GJB4,0.493747026
ABI2,0.330020845
KCNA2,0.458532661
SERPINB8,0.193307355
MADCAM1,0.435532898
TESK2,0.272822469
INO80D,0.475704908
MYLIP,0.314442754
BMP6,0.517186821
NMU,-0.222531736
PADI3,0.380562752
CHRNE,0.396352261
ZNRF4,0.543749809
UPK2,0.414452225
NME4,0.421607316
HAAO,0.496399432
MPP2,0.4959732
TNR,0.432613581
NUP88,-0.135128722
SRPK2,-0.373974532
EDA2R,0.45407775
SLC22A14,0.618484855
TEX13B,0.48414883
VPS53,0.368671268
TAC3,0.440491468
CKAP4,-0.363233656
RPL22,-0.548227429
LETM1,0.343562156
SCN3A,-0.387311727
HNMT,-0.350112736
PYGO1,-0.491298109
RPL19,-0.404090554
RPS24,-0.585253656
GLO1,-0.303577304
CLUAP1,-0.386304975
RPL38,-0.667767465
RPS4X,-0.490006804
PSMC1,-0.231069416
APEX1,-0.218183964
RPL34,-0.398419589
STK38L,-0.27033785
NACA,-0.503599644
RPS18,-0.522351205
RPS29,-0.437510937
RPLP2,-0.396122277
RPL36A,-0.703928113
SQLE,-0.208136871
NUDCD3,0.274489552
RPS16,-0.204546779
GDF9,-0.376398653
RPL24,-0.346817225
NENF,0.278549194
RNF146,-0.679451644
ASTE1,0.336446494
CKB,-0.25709182
CDCA3,0.219352528
PYGO1,-0.532866955
RPS6,-0.108910836
CACNA1D,0.275667548
COG7,-0.27246201
RPL3,-0.377784193
PSMA2,-0.363456488
TSPAN4,0.234246314
PLPP1,-0.385175884
PLAUR,0.20958066
C6,-0.497107357
FAM124B,-0.327799171
HSPB1,0.38725248
LRP6,-0.232862487
ZNF277,-0.31584096
SSX3,-0.5419662
CD1E,-2.643710375
YWHAE,0.415249467
EIF3H,-0.258147448
MID1IP1,0.188051403
CYP3A7,-0.33564207
MYOC,-0.381756485
CD1B,-0.825996637
LITAF,-0.238133088
IRF2,0.197764069
CDC42EP4,0.175227761
FHL5,-0.37263149
CLTB,0.28228116
LAMA1,-0.470442176
GATB,0.20801352
MALT1,0.247741193
PIP4K2B,0.237852544
ICMT,0.268772215
PSMD9,0.223202646
UBE2S,0.257098049
TES,-0.090392731
RRM2,-0.342137247
PDE5A,-0.611875653
GPNMB,-0.243564248
TNFRSF1B,0.304686755
EIF3L,-0.452644646
STX10,0.393429995
KANSL1L,-0.432829499
ATP6V0A4,-0.401658297
GNB2,0.282377213
P4HTM,0.228744552
LITAF,-0.26372239
CAMK2N1,-0.163788483
ZNF33B,-0.412081033
PTPN4,-0.38806352
TES,-0.091787957
JPT1,0.213873535
PSMD9,0.221226916
TNFRSF10B,0.263964862
KLF13,-0.411183119
ZNF134,-0.340603858
PFKP,0.306342721
CAV1,-0.248099446
RRP8,0.252433479
EDEM2,0.323760569
BFAR,-0.260306686
CD1E,-2.472260714
POFUT1,0.359457642
RFX3,-0.681278586
CAPNS1,0.233831048
DDB2,0.274913639
HAUS4,0.220886186
ICAM3,0.379635513
PPP3CC,0.202494174
PLIN3,0.167552441
PAFAH1B3,0.203278854
DCTD,0.157197893
SGSH,0.485189825
SENP3,0.322103143
TNFSF13,0.422310293
PSMB8,0.069768518
TSR2,0.295402765
PSMD9,0.246560648
TNIP1,0.167241335
NAPA,0.37144953
STXBP2,0.198887974
CCND3,0.151392967
SLC25A11,0.528241754
HYAL2,0.239740998
STAP2,0.204005778
PAF1,0.340214521
PRKAB2,-0.699436247
COG4,0.281738698
BCKDK,0.505637527
PARP3,0.339220852
FTL,-0.370449573
FCGRT,0.295375705
BTK,-0.196032077
DDRGK1,0.374596536
GEMIN4,0.452553838
REXO5,-0.371713549
HSD17B14,0.357788086
LRPAP1,0.221925706
NQO2,-0.402027369
ZNF277,-0.325954467
VBP1,-0.17377378
MAP3K6,0.384824604
PITPNM1,0.298857063
UNC93B1,0.308811069
GLI2,-0.655192912
CD81,0.271236092
TUBB2A,-0.194460422
EIF3H,-0.265517086
RPL26,-0.275611639
NCOR2,0.220479995
ASAH1,-0.359527558
IER3,-0.086818606
NME1,-0.061921287
COX15,-0.109266959
TGFBRAP1,-0.124863058
TRIM68,-0.084917031
VPS41,-0.090672217
NBL1,-0.088675663
DCXR,-0.091414019
MECP2,0.095593654
GNPTAB,-0.08276505
PCMT1,-0.05303444
MS4A4A,0.082812838
CSAD,0.108990572
SMARCC2,0.093762651
CYFIP2,-0.108578607
MAPRE2,0.071004771
ANO10,-0.149965003
SLC38A2,0.130121768
SNX6,-0.042531151
AHR,0.215243623
TNFSF13,0.363428771
C12orf43,0.185577601
IFRD2,0.2246795
ASTE1,0.323665321
ATP5F1E,0.224937096
NFKB1,0.313951373
OSBPL10,-0.464308798
GNG5,0.299393356
C1orf50,0.222819313
IPCEF1,0.232113272
FCGRT,0.252097994
CCDC47,-0.253774077
ANAPC15,0.292353958
METTL3,-0.434650064
RAB1B,0.281401366
ATOX1,0.185663849
FOXD1,0.216751307
IGFBP7,-0.401963174
LGR4,-0.350759894
RPS11,-0.442734212
RPL38,-0.604830861
EFR3A,-0.416417807
RPL27,-0.335339844
LRP6,-0.26510787
RPLP2,-0.34167546
RPS24,-0.522027731
GLO1,-0.284488767
RPL19,-0.363555998
MAN2A1,-0.476894885
EIF3M,-0.287007183
CYBA,0.197150007
ST6GALNAC2,0.274955213
RPS29,-0.408431381
RPL5,-0.373930395
CPLANE1,-0.376915514
ZKSCAN8,-0.464887261
RPS4X,-0.364057541
IFNA2,-0.413806438
MAPK10,-0.284213394
PRPSAP2,-0.529211283
CCND3,0.171723604
NSDHL,0.270477653
MICALL2,0.292889863
HYAL2,0.267868608
HMG20B,0.26551193
CDC25B,0.200436786
PSMA1,-0.318773478
TEX264,0.524194956
ACTR1A,0.424445897
NABP1,-0.61102134
GPR37,-0.534320414
EFHD1,-0.584599376
PLCB3,0.17655994
BSCL2,0.303528577
CCNF,0.601198375
COLGALT1,0.260309458
DUS4L,-0.396594465
TGFB1I1,0.145978659
NUDCD3,0.298136085
FLI1,-0.395839006
GTF3C3,-0.222409204
RPS4X,-0.386760414
RPS29,-0.428556383
EEF1A1,-0.446667492
PSMA1,-0.254166335
RPL38,-0.58901757
RPS24,-0.516167343
USP34,-0.489937872
RPS18,-0.517470896
LRP6,-0.279273212
IL17A,-0.355038226
RPS10,-0.424478054
EDEM3,-0.487565845
EIF3M,-0.269439846
RPL7A,-0.466296822
TPT1,-0.444297314
ACTR2,-0.292203307
RPL13,-0.244420931
RPL27,-0.321956158
CASP7,0.289805681
MRPL23,0.359047025
LAMC2,0.16373077
POLR2L,0.308819771
TAF10,0.24439092
CXCL8,0.196891308
PLG,-0.358867377
TMED1,0.462783605
PDLIM4,0.294142932
GRPEL1,0.228190973
TNKS2,-0.328923374
IFRD2,0.232907429
OSBPL10,-0.521663249
MSMB,-0.259238422
PRKG2,-0.625425577
TNFSF13,0.389648229
PTPRS,0.362240195
ZNF804A,-0.447968096
APCS,-0.441148013
PSMA2,-0.366744518
MALT1,0.263514906
SCYL2,-0.979736686
RNF187,0.234350353
SPEF1,0.375352055
NAPA,0.350605249
SCARB2,-0.327844441
LRP3,0.312907845
SLC25A11,0.484787822
MBTPS2,-0.51917845
CHL1,0.301722914
KLC1,0.300811201
PI3,0.406394839
CCDC186,-0.613767445
EDEM3,-0.491725206
DCTD,0.136588633
TSC22D4,0.447699606
SGSH,0.409552276
RPL24,-0.355609208
NFRKB,0.256072998
KCTD20,-0.615704656
RAB31,-0.293955117
CEBPG,-0.184579581
NET1,-0.118088275
TLR6,-0.3050901
MAP7,-0.139109746
RAB14,-0.293601185
HLA-B,-0.098895147
TXNRD1,-0.099604197
TRIM27,-0.165195972
IKBKG,-0.111052275
MAX,-0.138910949
KDM1A,-0.200457737
HNRNPU,-0.172798827
RPA2,-0.129752412
RNASEL,-0.268990636
TAF11,-0.113475032
HLA-A,-0.119447604
NOP56,-0.146552712
RPL23AP32,0.134082317
BRAP,-0.171786129
TNFRSF10B,0.293966532
ZNF804A,-0.498515844
HAUS4,0.225905538
AMDHD2,0.413421541
PFKP,0.327009022
FCGRT,0.257705063
